테스트번호,유저역할,유저아이디,테스트카테고리,메세지,응답결과_스테이터스코드,main버블,sub버블,cta버블,응답시간(ms),성공여부,검증오류,실행시간,응답결과_바디
27-1,User_S,Hyunse0001,general,開設されている授業の案内をお願いします,200,3.14では、幼児から高校生まで幅広い年齢層に対応した多様なコースを提供しています。幼児向けには東京ISや脳力開発コース、小中学生向けには個別指導3.14、高校生向けには3.14ハイスクールやBrainsGymがあり、オンラインコースも展開しています。,🎓 主なコース:- 幼児: 東京IS(2歳〜小4)、脳力開発コース(年長〜小6)- 小学生: 個別指導3.14(小3〜小6)- 中学生: 個別指導3.14(中1〜中3)- 高校生: 3.14ハイスクール、BrainsGym- オンライン: BrainsGym(中3〜高3),詳しい内容や各コースのカリキュラムについては、お気軽にお問い合わせください。お子様の年齢や目標に合わせて最適なコースをご案内させていただきます。,7890,성공,,2025-07-27T13:52:25.583Z,"[{""type"":""main"",""text"":""3.14では、幼児から高校生まで幅広い年齢層に対応した多様なコースを提供しています。幼児向けには東京ISや脳力開発コース、小中学生向けには個別指導3.14、高校生向けには3.14ハイスクールやBrainsGymがあり、オンラインコースも展開しています。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 主なコース:\n- 幼児: 東京IS(2歳〜小4)、脳力開発コース(年長〜小6)\n- 小学生: 個別指導3.14(小3〜小6)\n- 中学生: 個別指導3.14(中1〜中3)\n- 高校生: 3.14ハイスクール、BrainsGym\n- オンライン: BrainsGym(中3〜高3)"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容や各コースのカリキュラムについては、お気軽にお問い合わせください。お子様の年齢や目標に合わせて最適なコースをご案内させていただきます。"",""attachment"":null}]"
27-2,User_S,Hyunse0001,general,開設されている授業の案内をお願いします,200,3.14では、幼児から高校生まで幅広い年齢層に対応した多様なコースを提供しています。幼児向けには東京ISや脳力開発コース、小中学生向けには個別指導3.14、高校生向けには3.14ハイスクールやBrainsGymなど、それぞれの年齢や目標に合わせた専門的なプログラムがあります。,🎓 主なコース・幼児：東京IS、脳力開発コース・小学生：個別指導3.14、脳力開発コース・中学生：個別指導3.14・高校生：3.14ハイスクール、BrainsGym・オンライン：BrainsGym（中3〜高3）,詳しい内容や各コースの特徴については、お気軽に最寄りの教室またはカウンセリング窓口にお問い合わせください。お子様に最適なコースをご提案させていただきます。,6890,성공,,2025-07-27T13:52:33.477Z,"[{""type"":""main"",""text"":""3.14では、幼児から高校生まで幅広い年齢層に対応した多様なコースを提供しています。幼児向けには東京ISや脳力開発コース、小中学生向けには個別指導3.14、高校生向けには3.14ハイスクールやBrainsGymなど、それぞれの年齢や目標に合わせた専門的なプログラムがあります。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 主なコース\n・幼児：東京IS、脳力開発コース\n・小学生：個別指導3.14、脳力開発コース\n・中学生：個別指導3.14\n・高校生：3.14ハイスクール、BrainsGym\n・オンライン：BrainsGym（中3〜高3）"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容や各コースの特徴については、お気軽に最寄りの教室またはカウンセリング窓口にお問い合わせください。お子様に最適なコースをご提案させていただきます。"",""attachment"":null}]"
28,User_S,Hyunse0001,general,授業に応じた授業料の案内をお願いします,200,申し訳ございませんが、具体的な授業料の情報が確認できません。正確な情報をお伝えするため、以下のご案内をさせていただきます。,3.14では、幼児から高校生まで様々なコースをご用意しており、個別指導や脳力開発、オンライン授業など、ニーズに合わせた学習プログラムを提供しています。,具体的な授業料については、コースや学年、受講科目数によって異なりますので、お近くの教室へ直接お問い合わせいただくことをお勧めいたします。無料の個別相談も実施しておりますので、ぜひご活用ください。,6091,성공,,2025-07-27T13:52:40.569Z,"[{""type"":""main"",""text"":""申し訳ございませんが、具体的な授業料の情報が確認できません。正確な情報をお伝えするため、以下のご案内をさせていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""3.14では、幼児から高校生まで様々なコースをご用意しており、個別指導や脳力開発、オンライン授業など、ニーズに合わせた学習プログラムを提供しています。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な授業料については、コースや学年、受講科目数によって異なりますので、お近くの教室へ直接お問い合わせいただくことをお勧めいたします。無料の個別相談も実施しておりますので、ぜひご活用ください。"",""attachment"":null}]"
29,User_S,Hyunse0001,general,学校でパズルに通っていますが、他の教室でレプトンを受講することはできますか？,200,3.14では、パズル道場DXとLeptonの両方のコースを提供しており、別々の教室で受講することが可能です。,,詳しい受講方法や時間割については、お電話（0120-876-314）にてご相談いただけますので、お気軽にお問い合わせください。,4455,성공,,2025-07-27T13:52:57.107Z,"[{""type"":""main"",""text"":""3.14では、パズル道場DXとLeptonの両方のコースを提供しており、別々の教室で受講することが可能です。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい受講方法や時間割については、お電話（0120-876-314）にてご相談いただけますので、お気軽にお問い合わせください。"",""attachment"":null}]"
30-1,User_S,Hyunse0001,general,口座振替依頼書は直接金融機関の窓口に提出してもよろしいですか？,200,3.14の口座振替に関するご質問ありがとうございます。,口座振替依頼書は、金融機関の窓口に直接提出していただくことが可能です。ただし、手続きの確実性を高めるため、できましたら教室スタッフを通じてご提出いただくことをお勧めしております。,ご不明な点がございましたら、通塾中の教室スタッフまでお気軽にお問い合わせください。また、口座振替に関する詳しい手続きについても、教室でご案内させていただきます。,3798,성공,,2025-07-27T13:53:01.907Z,"[{""type"":""main"",""text"":""3.14の口座振替に関するご質問ありがとうございます。"",""attachment"":null},{""type"":""sub"",""text"":""口座振替依頼書は、金融機関の窓口に直接提出していただくことが可能です。ただし、手続きの確実性を高めるため、できましたら教室スタッフを通じてご提出いただくことをお勧めしております。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、通塾中の教室スタッフまでお気軽にお問い合わせください。また、口座振替に関する詳しい手続きについても、教室でご案内させていただきます。"",""attachment"":null}]"
30-2,User_S,Hyunse0001,general,口座振替依頼書は直接金融機関の窓口に提出してもよろしいですか？,200,3.14の口座振替に関するご質問ありがとうございます。,口座振替依頼書は、金融機関の窓口に直接提出していただくことが可能です。ただし、教室への提出用の控えも必要となりますので、必ず2部作成していただくようお願いいたします。,ご不明な点がございましたら、通塾されている教室のスタッフまでお気軽にお問い合わせください。手続きのサポートをさせていただきます。,3764,성공,,2025-07-27T13:53:06.674Z,"[{""type"":""main"",""text"":""3.14の口座振替に関するご質問ありがとうございます。"",""attachment"":null},{""type"":""sub"",""text"":""口座振替依頼書は、金融機関の窓口に直接提出していただくことが可能です。ただし、教室への提出用の控えも必要となりますので、必ず2部作成していただくようお願いいたします。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、通塾されている教室のスタッフまでお気軽にお問い合わせください。手続きのサポートをさせていただきます。"",""attachment"":null}]"
31,User_S,Hyunse0001,general,口座振替依頼書を提出すると、どのくらいで引き落としが開始されますか？,200,3.14では、口座振替の手続きについて、提出から引き落とし開始まで通常1〜2ヶ月程度かかります。手続きが完了するまでは、口座振替以外の方法でのお支払いをお願いしております。,,ご不明な点がございましたら、通われている教室のスタッフまでお気軽にご相談ください。お手続きのサポートをさせていただきます。,4013,성공,,2025-07-27T13:53:11.689Z,"[{""type"":""main"",""text"":""3.14では、口座振替の手続きについて、提出から引き落とし開始まで通常1〜2ヶ月程度かかります。手続きが完了するまでは、口座振替以外の方法でのお支払いをお願いしております。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、通われている教室のスタッフまでお気軽にご相談ください。お手続きのサポートをさせていただきます。"",""attachment"":null}]"
32,User_S,Hyunse0001,general,引き落とし口座を変更したいのですが、可能ですか？,200,3.14の口座変更について、ご案内させていただきます。,口座変更は可能です。お手続きには、新しい口座の情報と口座振替依頼書のご記入が必要となります。お通いの教室にて手続きを承りますので、通帳とお届け印をご持参ください。,詳しい手続き方法やご不明な点がございましたら、お通いの教室のスタッフまでお気軽にお問い合わせください。教室での手続きをスムーズに進めさせていただきます。,5859,성공,,2025-07-27T13:53:18.551Z,"[{""type"":""main"",""text"":""3.14の口座変更について、ご案内させていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""口座変更は可能です。お手続きには、新しい口座の情報と口座振替依頼書のご記入が必要となります。お通いの教室にて手続きを承りますので、通帳とお届け印をご持参ください。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい手続き方法やご不明な点がございましたら、お通いの教室のスタッフまでお気軽にお問い合わせください。教室での手続きをスムーズに進めさせていただきます。"",""attachment"":null}]"
33,User_S,Hyunse0001,general,授業料の支払いが遅れて、家に督促状が届きましたが、すでに支払いはしています。,200,3.14の授業料に関するお問い合わせ、ご心配をおかけして申し訳ございません。支払い済みにも関わらず督促状が届いてしまい、ご不安な思いをされたことと存じます。,🏫 対応方法：・お電話（0120-876-314）にてご連絡ください・お支払いの際の領収書やお振込み控えをご用意ください・通われているスクールの室長にも直接ご相談いただけます,ご不明な点がございましたら、お気軽にお電話（0120-876-314）までお問い合わせください。事務局にて早急に確認させていただきます。,6035,성공,,2025-07-27T13:53:25.589Z,"[{""type"":""main"",""text"":""3.14の授業料に関するお問い合わせ、ご心配をおかけして申し訳ございません。支払い済みにも関わらず督促状が届いてしまい、ご不安な思いをされたことと存じます。"",""attachment"":null},{""type"":""sub"",""text"":""🏫 対応方法：\n・お電話（0120-876-314）にてご連絡ください\n・お支払いの際の領収書やお振込み控えをご用意ください\n・通われているスクールの室長にも直接ご相談いただけます"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽にお電話（0120-876-314）までお問い合わせください。事務局にて早急に確認させていただきます。"",""attachment"":null}]"
34,User_S,Hyunse0001,general,札幌練成会に通っていますが、3.14の体験は受けることができますか？,200,3.14コミュニティでは、練成会グループの一員として、練成会に通われている生徒さんも体験授業を受けていただくことが可能です。,体験授業では、生徒さんの現在の学力を把握させていただき、最適な学習プランをご提案いたします。合否を決めるようなテストはございませんので、ご安心ください。,まずは、お近くの教室で無料の体験授業やカウンセリングを受けていただくことをおすすめいたします。お気軽にご相談ください。,3813,성공,,2025-07-27T13:53:30.413Z,"[{""type"":""main"",""text"":""3.14コミュニティでは、練成会グループの一員として、練成会に通われている生徒さんも体験授業を受けていただくことが可能です。"",""attachment"":null},{""type"":""sub"",""text"":""体験授業では、生徒さんの現在の学力を把握させていただき、最適な学習プランをご提案いたします。合否を決めるようなテストはございませんので、ご安心ください。"",""attachment"":null},{""type"":""cta"",""text"":""まずは、お近くの教室で無料の体験授業やカウンセリングを受けていただくことをおすすめいたします。お気軽にご相談ください。"",""attachment"":null}]"
35,User_S,Hyunse0001,general,私立中学に通っています,200,3.14では、私立中学生向けの個別指導コースを提供しており、生徒一人一人の学習進度や目標に合わせた指導を行っています。,🏫 コース内容・個別の学習計画作成・学校の定期テスト対策・受験に向けた特別指導・苦手科目の克服サポート,まずは無料の体験授業や個別相談で、お子様の現状と目標についてご相談いただけます。詳しい情報や日程調整をご希望の場合は、お気軽にお問い合わせください。,5917,성공,,2025-07-27T13:53:37.333Z,"[{""type"":""main"",""text"":""3.14では、私立中学生向けの個別指導コースを提供しており、生徒一人一人の学習進度や目標に合わせた指導を行っています。"",""attachment"":null},{""type"":""sub"",""text"":""🏫 コース内容\n・個別の学習計画作成\n・学校の定期テスト対策\n・受験に向けた特別指導\n・苦手科目の克服サポート"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料の体験授業や個別相談で、お子様の現状と目標についてご相談いただけます。詳しい情報や日程調整をご希望の場合は、お気軽にお問い合わせください。"",""attachment"":null}]"
36,User_S,Hyunse0001,general,クレファスはどのようなプログラムですか？,200,申し訳ございませんが、クレファスの一般的なプログラム内容については確実な情報を持ち合わせておりません。クレファス琴似校に関する以下の情報のみお伝えできます：,申し訳ございませんが、クレファスの一般的なプログラム内容については確実な情報を持ち合わせておりません。クレファス琴似校に関する以下の情報のみお伝えできます：3.14クレファス琴似校では、個別最適化されたカリキュラムを提供し、思考力・表現力講座やロボットプログラミングなど、特色のある学習プログラムを実施しています。🎓 主な特徴・個別の面談コーチングによるモチベーション向上・ロボット製作とプログラミング学習・思考力・表現力を重視した講座・自主性を重視した指導方針・無料の自習スペース完備より詳しいプログラムの内容については、直接クレファス琴似校にお問い合わせいただくことをお勧めいたします。,より詳しいプログラムの内容については、直接クレファス琴似校にお問い合わせいただくことをお勧めいたします。,7344,성공,,2025-07-27T13:53:45.688Z,"[{""type"":""main"",""text"":""申し訳ございませんが、クレファスの一般的なプログラム内容については確実な情報を持ち合わせておりません。クレファス琴似校に関する以下の情報のみお伝えできます："",""attachment"":null},{""type"":""sub"",""text"":""申し訳ございませんが、クレファスの一般的なプログラム内容については確実な情報を持ち合わせておりません。クレファス琴似校に関する以下の情報のみお伝えできます：\n3.14クレファス琴似校では、個別最適化されたカリキュラムを提供し、思考力・表現力講座やロボットプログラミングなど、特色のある学習プログラムを実施しています。\n🎓 主な特徴\n・個別の面談コーチングによるモチベーション向上\n・ロボット製作とプログラミング学習\n・思考力・表現力を重視した講座\n・自主性を重視した指導方針\n・無料の自習スペース完備\nより詳しいプログラムの内容については、直接クレファス琴似校にお問い合わせいただくことをお勧めいたします。"",""attachment"":null},{""type"":""cta"",""text"":""より詳しいプログラムの内容については、直接クレファス琴似校にお問い合わせいただくことをお勧めいたします。"",""attachment"":null}]"
37-1,User_S,Hyunse0001,general,クレファスは週に何回通いますか？,200,申し訳ございませんが、3.14琴似校の週間通塾回数に関する具体的な情報は確認できません。,,詳しい通塾スケジュールについては、お電話やご来校にて直接お問い合わせいただけますと幸いです。個別のご要望に合わせてご相談させていただきます。,4852,성공,,2025-07-27T13:53:51.578Z,"[{""type"":""main"",""text"":""申し訳ございませんが、3.14琴似校の週間通塾回数に関する具体的な情報は確認できません。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい通塾スケジュールについては、お電話やご来校にて直接お問い合わせいただけますと幸いです。個別のご要望に合わせてご相談させていただきます。"",""attachment"":null}]"
37-2,User_S,Hyunse0001,general,クレファスは週に何回通いますか？,200,申し訳ございませんが、3.14琴似校の週間通塾回数に関する具体的な情報は確認できません。,,詳しい通塾スケジュールについては、お電話やメール、または直接校舎にお問い合わせいただくことをお勧めいたします。個々の生徒さんに合わせて最適な通塾プランをご提案させていただきます。,5295,성공,,2025-07-27T13:53:57.876Z,"[{""type"":""main"",""text"":""申し訳ございませんが、3.14琴似校の週間通塾回数に関する具体的な情報は確認できません。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい通塾スケジュールについては、お電話やメール、または直接校舎にお問い合わせいただくことをお勧めいたします。個々の生徒さんに合わせて最適な通塾プランをご提案させていただきます。"",""attachment"":null}]"
38,User_S,Hyunse0001,general,レプトンはどのようなプログラムですか？,200,3.14のレプトンは、年長から小学6年生を対象とした、英語4技能（聞く・話す・読む・書く）をバランスよく習得できる個別指導型の英語教室です。,どのレベルからでも気軽に始められる特徴があり、グローバル社会で活躍したい方や英語力を楽しく身につけたい方におすすめのプログラムです。,詳しい授業内容や料金プランについて、お気軽にお問い合わせください。体験レッスンもご用意しております。,4610,성공,,2025-07-27T13:54:03.489Z,"[{""type"":""main"",""text"":""3.14のレプトンは、年長から小学6年生を対象とした、英語4技能（聞く・話す・読む・書く）をバランスよく習得できる個別指導型の英語教室です。"",""attachment"":null},{""type"":""sub"",""text"":""どのレベルからでも気軽に始められる特徴があり、グローバル社会で活躍したい方や英語力を楽しく身につけたい方におすすめのプログラムです。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい授業内容や料金プランについて、お気軽にお問い合わせください。体験レッスンもご用意しております。"",""attachment"":null}]"
39,User_S,Hyunse0001,general,実際にはネイティブの先生が教えてくれる授業ですか？,200,3.14の英語指導に関する具体的な講師情報については、提供された情報からは確認できかねます。,,お手数ですが、詳しい英語指導体制については、直接3.14にお問い合わせいただくことをお勧めいたします。カリキュラムや講師陣について、より正確な情報をお伝えできるかと存じます。,4946,성공,,2025-07-27T13:54:09.436Z,"[{""type"":""main"",""text"":""3.14の英語指導に関する具体的な講師情報については、提供された情報からは確認できかねます。"",""attachment"":null},{""type"":""cta"",""text"":""お手数ですが、詳しい英語指導体制については、直接3.14にお問い合わせいただくことをお勧めいたします。カリキュラムや講師陣について、より正確な情報をお伝えできるかと存じます。"",""attachment"":null}]"
40,User_S,Hyunse0001,general,パズル道場はどのようなプログラムですか？,200,3.14のパズル道場は、口コミによると数学の基礎力を育てる学習プログラムで、小学生から始めることで中学数学への接続がスムーズになるとの評価をいただいています。,実際に、パズル道場を小学生の時から受講していた生徒さんは、中学での数学がスムーズに学習でき、高校の内容まで先取り学習ができるようになったという成果が報告されています。,詳しい学習内容やカリキュラムについては、無料体験授業や個別相談で詳しくご説明させていただきますので、お気軽にお問い合わせください。,6275,성공,,2025-07-27T13:54:16.714Z,"[{""type"":""main"",""text"":""3.14のパズル道場は、口コミによると数学の基礎力を育てる学習プログラムで、小学生から始めることで中学数学への接続がスムーズになるとの評価をいただいています。"",""attachment"":null},{""type"":""sub"",""text"":""実際に、パズル道場を小学生の時から受講していた生徒さんは、中学での数学がスムーズに学習でき、高校の内容まで先取り学習ができるようになったという成果が報告されています。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい学習内容やカリキュラムについては、無料体験授業や個別相談で詳しくご説明させていただきますので、お気軽にお問い合わせください。"",""attachment"":null}]"
41,User_S,Hyunse0001,general,ゼロはどのような授業ですか？,200,3.14では、年齢や目的に応じて様々なコースを提供しています。小学生・中学生向けの個別指導、幼児向けの脳力開発、高校生向けの受験対策など、それぞれのニーズに合わせた指導を行っています。,,ご興味のある具体的なコースやお子様の学年をお聞かせいただければ、より詳しい情報をご案内させていただきます。,5913,성공,,2025-07-27T13:54:23.631Z,"[{""type"":""main"",""text"":""3.14では、年齢や目的に応じて様々なコースを提供しています。小学生・中学生向けの個別指導、幼児向けの脳力開発、高校生向けの受験対策など、それぞれのニーズに合わせた指導を行っています。"",""attachment"":null},{""type"":""cta"",""text"":""ご興味のある具体的なコースやお子様の学年をお聞かせいただければ、より詳しい情報をご案内させていただきます。"",""attachment"":null}]"
42,User_S,Hyunse0001,general,先生は何名の生徒を指導していますか？,200,3.14では、1人の生徒に対してAI講師(atama+)と実在する講師の2人体制で指導を行っています。完全な個別指導制を採用しており、生徒一人ひとりに合わせた最適な学習カリキュラムを提供しています。,,ご興味がありましたら、無料の体験授業もご用意しておりますので、お気軽にお問い合わせください。実際の授業の雰囲気や指導方法を体験していただけます。,3315,성공,,2025-07-27T13:54:27.948Z,"[{""type"":""main"",""text"":""3.14では、1人の生徒に対してAI講師(atama+)と実在する講師の2人体制で指導を行っています。完全な個別指導制を採用しており、生徒一人ひとりに合わせた最適な学習カリキュラムを提供しています。"",""attachment"":null},{""type"":""cta"",""text"":""ご興味がありましたら、無料の体験授業もご用意しておりますので、お気軽にお問い合わせください。実際の授業の雰囲気や指導方法を体験していただけます。"",""attachment"":null}]"
43,User_S,Hyunse0001,general,どのような先生が教えてくださいますか？,200,3.14では、生徒一人ひとりの学習進度や理解度に合わせて、経験豊富な講師陣が丁寧に指導いたします。講師は全員が厳しい採用基準と研修を経て、生徒の「自ら学ぶ力」を育てることを重視しています。,,具体的な講師陣や指導方針については、お近くの教室で詳しくご説明させていただきますので、お気軽にお問い合わせください。ご希望の教室をお伺いできれば、より詳しい情報をご案内できます。,4440,성공,,2025-07-27T13:54:33.391Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの学習進度や理解度に合わせて、経験豊富な講師陣が丁寧に指導いたします。講師は全員が厳しい採用基準と研修を経て、生徒の「自ら学ぶ力」を育てることを重視しています。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な講師陣や指導方針については、お近くの教室で詳しくご説明させていただきますので、お気軽にお問い合わせください。ご希望の教室をお伺いできれば、より詳しい情報をご案内できます。"",""attachment"":null}]"
44,User_S,Hyunse0001,general,どのような定期試験対策を実施していますか？,200,3.14では、生徒一人ひとりの学校の定期テスト範囲に合わせた個別カリキュラムを作成し、徹底的な対策を行っています。担任講師と教科講師が連携して、過去問分析や弱点補強を実施します。,テスト2週間前からは、学校別の過去問演習や単元別の確認テストを実施し、得点力を高めていきます。また、自習スペースでは、講師が常駐して質問にいつでも対応できる体制を整えています。,定期テスト対策について、より詳しい内容や実際の指導方法についてお知りになりたい場合は、ぜひ一度無料の個別相談にお越しください。実際の教材をご覧いただきながら、具体的なご説明をさせていただきます。,6994,성공,,2025-07-27T13:54:41.387Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの学校の定期テスト範囲に合わせた個別カリキュラムを作成し、徹底的な対策を行っています。担任講師と教科講師が連携して、過去問分析や弱点補強を実施します。"",""attachment"":null},{""type"":""sub"",""text"":""テスト2週間前からは、学校別の過去問演習や単元別の確認テストを実施し、得点力を高めていきます。また、自習スペースでは、講師が常駐して質問にいつでも対応できる体制を整えています。"",""attachment"":null},{""type"":""cta"",""text"":""定期テスト対策について、より詳しい内容や実際の指導方法についてお知りになりたい場合は、ぜひ一度無料の個別相談にお越しください。実際の教材をご覧いただきながら、具体的なご説明をさせていただきます。"",""attachment"":null}]"
45,User_S,Hyunse0001,general,1回の授業は何分ですか？また、授業の追加はできますか？,200,3.14では、1回の授業は50分間で、中学生2科目コースの場合は月16回(800分)が標準となっています。テスト前などは授業の追加が可能で、追加費用は発生しません。,,ご不明な点がございましたら、お気軽に各教室までお問い合わせください。また、実際の授業の様子を見学していただくことも可能です。,3806,성공,,2025-07-27T13:54:46.197Z,"[{""type"":""main"",""text"":""3.14では、1回の授業は50分間で、中学生2科目コースの場合は月16回(800分)が標準となっています。テスト前などは授業の追加が可能で、追加費用は発生しません。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に各教室までお問い合わせください。また、実際の授業の様子を見学していただくことも可能です。"",""attachment"":null}]"
46-1,User_S,Hyunse0001,general,授業時間と曜日は決まっていますか？,200,3.14では、基本的な時間割は設定されていますが、生徒さん一人一人の部活動や習い事などの状況に応じて柔軟に対応することが可能です。授業時間は1回50分で、教室によって開校時間が異なります。,,ご希望の曜日や時間帯がありましたら、お近くの教室にご相談ください。時間割の調整について、丁寧にご説明させていただきます。,3969,성공,,2025-07-27T13:54:51.169Z,"[{""type"":""main"",""text"":""3.14では、基本的な時間割は設定されていますが、生徒さん一人一人の部活動や習い事などの状況に応じて柔軟に対応することが可能です。授業時間は1回50分で、教室によって開校時間が異なります。"",""attachment"":null},{""type"":""cta"",""text"":""ご希望の曜日や時間帯がありましたら、お近くの教室にご相談ください。時間割の調整について、丁寧にご説明させていただきます。"",""attachment"":null}]"
46-2,User_S,Hyunse0001,general,授業時間と曜日は決まっていますか？,200,3.14では、基本的な時間割は設定されていますが、生徒一人ひとりの部活動や習い事などの状況に応じて柔軟に対応することが可能です。授業は1回50分で、教室によって開校時間が異なります。,,ご希望の曜日や時間帯がございましたら、お近くの教室にご相談ください。時間割の調整や具体的な開校時間については、教室のスタッフが丁寧にご説明させていただきます。,5359,성공,,2025-07-27T13:54:57.529Z,"[{""type"":""main"",""text"":""3.14では、基本的な時間割は設定されていますが、生徒一人ひとりの部活動や習い事などの状況に応じて柔軟に対応することが可能です。授業は1回50分で、教室によって開校時間が異なります。"",""attachment"":null},{""type"":""cta"",""text"":""ご希望の曜日や時間帯がございましたら、お近くの教室にご相談ください。時間割の調整や具体的な開校時間については、教室のスタッフが丁寧にご説明させていただきます。"",""attachment"":null}]"
47-1,User_S,Hyunse0001,general,振替授業をすることはできますか？,200,3.14では、前日までのご連絡をいただければ振替授業を実施することが可能です。当日のご連絡の場合は振替授業の対応ができかねますのでご了承ください。,,ご不明な点がございましたら、お気軽に教室スタッフまでお問い合わせください。また、振替授業の具体的な日時については、通われている教室にて調整させていただきます。,3343,성공,,2025-07-27T13:55:01.875Z,"[{""type"":""main"",""text"":""3.14では、前日までのご連絡をいただければ振替授業を実施することが可能です。当日のご連絡の場合は振替授業の対応ができかねますのでご了承ください。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に教室スタッフまでお問い合わせください。また、振替授業の具体的な日時については、通われている教室にて調整させていただきます。"",""attachment"":null}]"
47-2,User_S,Hyunse0001,general,振替授業をすることはできますか？,200,3.14では、前日までのご連絡をいただければ振替授業を実施することが可能です。当日のご連絡の場合は振替授業の対応ができかねますのでご了承ください。,,ご不明な点がございましたら、お気軽に教室スタッフまでお問い合わせください。また、振替授業の具体的な日時については、通われている教室にて調整させていただきます。,3812,성공,,2025-07-27T13:55:06.691Z,"[{""type"":""main"",""text"":""3.14では、前日までのご連絡をいただければ振替授業を実施することが可能です。当日のご連絡の場合は振替授業の対応ができかねますのでご了承ください。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に教室スタッフまでお問い合わせください。また、振替授業の具体的な日時については、通われている教室にて調整させていただきます。"",""attachment"":null}]"
48,User_S,Hyunse0001,general,自習スペースはありますか？また、利用する場合は有料ですか？,200,3.14では、全教室に自習スペースを完備しており、通常授業を受講している生徒は無料で利用することができます。また、オンラインの自習システムも利用可能です。,,ご利用方法や各教室の自習スペースの詳細については、お近くの教室にお気軽にお問い合わせください。教室検索をお手伝いさせていただきますので、お住まいの地域をお知らせいただけますと幸いです。,3257,성공,,2025-07-27T13:55:10.949Z,"[{""type"":""main"",""text"":""3.14では、全教室に自習スペースを完備しており、通常授業を受講している生徒は無料で利用することができます。また、オンラインの自習システムも利用可能です。"",""attachment"":null},{""type"":""cta"",""text"":""ご利用方法や各教室の自習スペースの詳細については、お近くの教室にお気軽にお問い合わせください。教室検索をお手伝いさせていただきますので、お住まいの地域をお知らせいただけますと幸いです。"",""attachment"":null}]"
49,User_S,Hyunse0001,general,わからない部分の質問などはできますか？,200,3.14では、生徒一人ひとりの「わからない」を大切にし、質問しやすい環境づくりを心がけています。授業中はもちろん、自習時も先生に質問できる体制を整えています。,🎓 学習サポート・授業中・自習時の質問対応・自学力・習慣力の育成重視・主体的に学習できる力の養成・オンライン自習システムでの学習支援,ぜひ、わからないことはその場で質問してください。「わからない」という気づきは、学習の大切な一歩です。先生たちが丁寧にサポートさせていただきます。,4693,성공,,2025-07-27T13:55:16.644Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの「わからない」を大切にし、質問しやすい環境づくりを心がけています。授業中はもちろん、自習時も先生に質問できる体制を整えています。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 学習サポート\n・授業中・自習時の質問対応\n・自学力・習慣力の育成重視\n・主体的に学習できる力の養成\n・オンライン自習システムでの学習支援"",""attachment"":null},{""type"":""cta"",""text"":""ぜひ、わからないことはその場で質問してください。「わからない」という気づきは、学習の大切な一歩です。先生たちが丁寧にサポートさせていただきます。"",""attachment"":null}]"
50,User_S,Hyunse0001,general,公立中学校と私立中学校では授業内容と進度が違いますが、対応していただけますか？,200,3.14では、生徒一人ひとりの学校の進度や学習状況に合わせた完全オーダーメイドのカリキュラムを提供しています。公立・私立を問わず、それぞれの学校の授業進度や教科書に合わせた指導を行っています。,,ぜひ一度、お近くの教室で詳しい説明を聞いてみませんか？教室によって開校時間が異なりますので、お気軽にお問い合わせください。,3887,성공,,2025-07-27T13:55:21.532Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの学校の進度や学習状況に合わせた完全オーダーメイドのカリキュラムを提供しています。公立・私立を問わず、それぞれの学校の授業進度や教科書に合わせた指導を行っています。"",""attachment"":null},{""type"":""cta"",""text"":""ぜひ一度、お近くの教室で詳しい説明を聞いてみませんか？教室によって開校時間が異なりますので、お気軽にお問い合わせください。"",""attachment"":null}]"
